"date_time","open","high","low","close","volume"
"2022-07-20 15:36:00","128.8800","128.9800","128.8667","128.9600","26174"
"2022-07-20 15:35:00","128.9000","128.9000","128.8500","128.8800","21692"
"2022-07-20 15:34:00","128.8500","128.9100","128.8500","128.9091","28216"
"2022-07-20 15:33:00","128.8200","128.9000","128.8200","128.8600","25087"
"2022-07-20 15:32:00","128.8200","128.9100","128.8000","128.8200","18021"
"2022-07-20 15:31:00","128.8850","128.9100","128.8181","128.8200","23667"
"2022-07-20 15:30:00","128.8801","128.9200","128.8400","128.8899","24231"
"2022-07-20 15:29:00","128.7900","128.8800","128.7750","128.8800","28074"
"2022-07-20 15:28:00","128.7800","128.8200","128.7700","128.7942","16162"
"2022-07-20 15:27:00","128.7239","128.8300","128.7239","128.7750","40138"
"2022-07-20 15:26:00","128.6000","128.7300","128.6000","128.7202","12096"
"2022-07-20 15:25:00","128.6400","128.6400","128.5600","128.5800","16259"
"2022-07-20 15:24:00","128.6700","128.7299","128.6001","128.6390","12271"
"2022-07-20 15:23:00","128.6000","128.6800","128.5542","128.6800","31512"
"2022-07-20 15:22:00","128.6450","128.6500","128.5900","128.5900","13216"
"2022-07-20 15:21:00","128.6600","128.7000","128.6000","128.6400","25527"
"2022-07-20 15:20:00","128.6800","128.6800","128.6262","128.6600","15222"
"2022-07-20 15:19:00","128.6900","128.7000","128.6600","128.6800","9699"
"2022-07-20 15:18:00","128.6600","128.7300","128.6584","128.7020","23716"
